,massege,softmax,class
0,зачем это надо,[0.   0.01 0.   0.   0.02 0.97],tag_yes
1,ну,[0.03 0.03 0.   0.   0.   0.93],tag_yes
2,какая организация?,[0.01 0.14 0.02 0.52 0.   0.3 ],tag_what_company
3,во имя чего?,[0.02 0.89 0.02 0.   0.   0.06],tag_no
4,вы тут?,[0.12 0.14 0.   0.   0.05 0.69],tag_yes
5,да ну вас!,[0.   0.01 0.   0.   0.   0.99],tag_yes
6,"приветствую, а что за организация?",[0. 0. 0. 1. 0. 0.],tag_what_company
7,да хорошо,[0.   0.02 0.   0.   0.   0.97],tag_yes
8,с какой радости?,[0.   0.01 0.   0.   0.   0.99],tag_yes
9,и что дальше?,[0.   0.01 0.   0.   0.   0.98],tag_yes
10,скажите вторично,[0.04 0.05 0.   0.   0.02 0.89],tag_yes
11,вне всяких сомнений,[0.   0.01 0.   0.   0.   0.99],tag_yes
12,не понял,[0. 0. 0. 0. 1. 0.],tag_who_is
13,да нет наверное,[0.01 0.63 0.02 0.   0.   0.34],tag_no
14,"алло, я больше не хочу получать звонки от вас!",[0.96 0.03 0.   0.01 0.   0.  ],tag_do_not_call
15,сыт по горло,[0.76 0.23 0.   0.   0.   0.01],tag_do_not_call
16,скорее всего,[0.02 0.02 0.   0.   0.   0.96],tag_yes
17,"не, не годится",[0.22 0.77 0.   0.   0.   0.  ],tag_no
18,а какая цель звонка?,[0.   0.01 0.   0.   0.01 0.98],tag_yes
19,допустимо,[0.04 0.07 0.   0.   0.01 0.87],tag_yes
20,зачем,[0.02 0.02 0.   0.   0.   0.96],tag_yes
21,вероятно,[0.06 0.11 0.01 0.   0.   0.82],tag_yes
22,будь здоров!,[0.02 0.97 0.   0.   0.   0.01],tag_no
23,положим,[0.08 0.07 0.   0.   0.01 0.85],tag_yes
24,представьтесь пожалуйста?,[0.04 0.11 0.01 0.   0.43 0.41],tag_who_is
25,кто здесь?,[0. 0. 0. 0. 1. 0.],tag_who_is
26,"нет, в другой раз",[0.   0.01 0.99 0.   0.   0.  ],tag_not_now
27,"жаль, но нет",[0. 1. 0. 0. 0. 0.],tag_no
28,еще раз,[0. 0. 0. 0. 1. 0.],tag_who_is
29,к прискорбию нет,[0.01 0.99 0.   0.   0.   0.  ],tag_no
